"Ticker","Company","2014","2013","2012","2011","2010","2009","2008"
"AAPL","Apple Inc.","39,510","37,037","41,733","25,922","14,013","8,235","6,119"
"AXP","American Express Inc.","5,885","5,359","4,482","4,935","4,057","2,130","2,699"
"BA","Boeing Co.","5,446","4,585","3,900","4,018","3,307","1,312","2,672"
"CAT","Caterpillar Inc.","3,695","3,789","5,681","4,928","2,700","895","3,557"
"CSCO","Cisco Systems","7,853","9,983","8,041","6,490","7,767","6,134","8,052"
"CVX","Chevron","19,241","21,423","26,179","26,895","19,024","10,483","23,931"
"DD","DuPont","3,625","4,848","2,755","3,474","3,031","1,755","2,007"
"DIS","The Walt Disney Co.","7,501","6,136","5,682","4,807","3,963","3,307","4,427"
"GE","General Electric Co.","15,233","13,057","13,641","14,151","11,644","11,025","17,410"
"GS","Goldman Sachs","8,477","8,040","7,475","4,442","8,354","13,385","2,322"
"HD","Home Depot","5,385","4,535","3,883","3,338","2,661","2,260","4,395"
"IBM","IBM","12,022","16,483","16,604","15,855","14,833","13,425","12,334"
"INTC","Intel Corp.","11,704","9,620","11,005","12,942","11,464","4,369","5,292"
"JNJ","Johnson & Johnson Inc.","16,323","13,831","10,853","9,672","13,334","12,266","12,949"
"JPM","JP Morgan Chase & Co.","21,762","17,923","21,284","18,976","17,370","11,728","5,605"
"KO","The Coca-Cola Co.","7,098","8,584","9,019","8,584","11,787","6,824","5,807"
"MCD","McDonald's Corp.","4,758","5,586","5,465","5,503","4,946","4,551","4,313"
"MMM","3M Co.","4,956","4,659","4,444","4,283","4,085","3,193","3,460"
"MRK","Merck & Co.","11,920","4,404","6,168","6,272","861","12,899","7,808"
"MSFT","Microsoft","22,074","21,863","16,978","23,150","18,760","14,569","17,681"
"NKE","Nike","2,693","2,472","2,223","2,133","1,907","1,487","1,883"
"PFE","Pfizer Inc.","9,135","22,003","14,570","10,009","8,257","8,635","8,104"
"PG","Procter & Gamble Co.","11,643","11,312","10,756","11,797","12,736","13,436","12,075"
"TRV","Travelers Companies","3,692","3,673","2,473","1,426","3,216","3,622","2,924"
"UNH","UnitedHealth Group Inc.","5,619","5,625","5,526","5,142","4,634","3,822","2,977"
"UTX","United Technologies Corp.","6,220","5,721","5,130","4,979","4,373","3,829","4,689"
"V","Visa Inc.","5,438","4,980","2,144","3,650","2,966","2,353","804"
"VZ","Verizon Comms Inc.","9,625","11,497","875","2,404","2,549","4,894","6,428"
"WMT","Wal-Mart","16,022","16,999","15,699","16,389","14,370","13,400","12,731"
"XOM","Exxon Mobil Corp.","32,520","32,580","44,880","41,060","30,460","19,280","45,220"